"Sr. No.","State","work","work_id","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Karnataka","Construction of footpaths and pedestrian ways","WS/MP18080/2025-2026/181962","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE","CHAMARAJANAGAR(SC)","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"2","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18080/2025-2026/181963","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE","CHAMARAJANAGAR(SC)","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"3","Karnataka","Construction of boundary walls of existing public and community buildings","WS/MP18080/2025-2026/181818","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE","CHAMARAJANAGAR(SC)","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"4","Karnataka","Construction of buildings for community cultural activities","WS/MP18080/2025-2026/181801","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE","CHAMARAJANAGAR(SC)","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"5","Karnataka","Construction of footpaths and pedestrian ways","WS/MP18080/2025-2026/181959","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE","CHAMARAJANAGAR(SC)","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"6","Karnataka","Construction of community centers and community halls","WS/MP18080/2025-2026/182046","Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA)","SUNIL BOSE","CHAMARAJANAGAR(SC)","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","125000"
"7","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233777","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","21-Aug-2026","DARSH BUILDCON","Payment In-Progress","799146"
"8","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233878","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","832080"
"9","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233781","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","498309"
"10","Bihar","Lighting of public spaces","WS/MP18038/2025-2026/239447","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","TARIQ ANWAR","KATIHAR","24-Aug-2026","R K Construction","Payment In-Progress","965000"
"11","Bihar","Lighting of public spaces","WS/MP18038/2025-2026/239467","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","TARIQ ANWAR","KATIHAR","24-Aug-2026","R K Construction","Payment In-Progress","965000"
"12","Bihar","Lighting of public spaces","WS/MP18038/2025-2026/239464","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","TARIQ ANWAR","KATIHAR","24-Aug-2026","R K Construction","Payment In-Progress","965000"
"13","Bihar","Lighting of public spaces","WS/MP18038/2025-2026/239463","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","TARIQ ANWAR","KATIHAR","24-Aug-2026","R K Construction","Payment In-Progress","965000"
"14","Bihar","Lighting of public spaces","WS/MP18038/2025-2026/239457","KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA)","TARIQ ANWAR","KATIHAR","24-Aug-2026","R K Construction","Payment In-Progress","965000"
"15","Madhya Pradesh","Installing tube-wells and borewells","WS/MP650/2025-2026/242025","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","23-Aug-2026","SHRI GANESH ASSOCIATES PROPRIETOR NARAYAN SHARMA","Payment In-Progress","101562"
"16","Madhya Pradesh","Installing tube-wells and borewells","WS/MP650/2025-2026/242024","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","23-Aug-2026","SHRI GANESH ASSOCIATES PROPRIETOR NARAYAN SHARMA","Payment In-Progress","97350"
"17","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214637","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
